timestamp,side,qty,vwap,p_market,expected_slippage_bps,realized_slippage_bps,ev,strike,resolved_won,pnl,capital
1779986411.648972,BUY_YES,424.2979973104368,0.42,0.42,0.0,0.0,0.0,73106.2130671073,False,0.0,9999.97
1779986418.8528237,SELL_YES,413.8299555769124,0.38,0.43,0.0,0.0,0.0,73106.2130671073,False,-16.583198223076465,9983.491482194258
1779986419.308578,SELL_YES,9.819957934100664,0.44,0.44,0.0,0.0,0.0,73106.2130671073,True,0.1663991586820135,9983.566162611594
1779986420.2247226,BUY_YES,432.7048591508482,0.45,0.45,0.0,0.0,0.0,73106.2130671073,False,0.0,9983.542643449588
1779986424.6521761,SELL_YES,207.57337527149954,0.44,0.44,0.0,0.0,0.0,73106.2130671073,False,-2.096420908953803,9979.179114020086
1779986429.0606048,SELL_YES,221.3047994845628,0.45,0.46,0.0,0.0,0.0,73106.2130671073,False,-0.020071091639238148,9981.451657378815
1779986435.0829074,SELL_YES,4.474768194209588,0.51,0.51,0.0,0.0,0.0,73106.2130671073,True,0.23868685351331864,9981.645395788526
1779986440.243129,BUY_YES,414.3984461742362,0.52,0.51,0.0,0.0,0.0,73106.2130671073,False,0.0,9977.471411326784
1779986452.7732623,SELL_YES,356.99354495426337,0.68,0.68,0.0,0.0,0.0,73106.2130671073,True,57.088967192682134,10047.889147176405
1779986471.9053488,SELL_YES,42.14269323641977,0.7,0.7,0.0,0.0,0.0,73106.2130671073,True,7.555684782555552,10049.007245200804
1779986486.181361,SELL_YES,11.917921777154898,0.71,0.71,0.0,0.0,0.0,73106.2130671073,True,2.234405137659431,10049.12986728064
1779986487.0899944,SELL_YES,2.908164050929577,0.72,0.72,0.0,0.0,0.0,73106.2130671073,True,0.5516328101859156,10049.133310142704
1779986582.1566193,BUY_YES,465.6151980958961,0.9,0.9,0.0,0.0,0.0,73106.2130671073,False,0.0,10049.181812130688
1779986597.087745,SELL_YES,466.04190963074075,0.96,0.96,0.0,0.0,0.0,73106.2130671073,True,28.098237650534713,10077.11489134577
1779986700.2480605,SETTLE_YES,0.009410620623953037,1.0,1.0,0.0,0.0,0.0,73106.2130671073,True,-0.02905559154979387,10077.115267770594
1779986721.433365,BUY_YES,407.0310627672797,0.55,0.54,0.0,0.0,0.0,73212.94744860285,False,0.0,10073.014957142921
1779986724.24018,SELL_YES,385.5354538872715,0.53,0.53,0.0,0.0,0.0,73212.94744860285,False,-7.740709077745436,10068.914646515248
1779986725.2218342,SELL_YES,21.053839478921983,0.52,0.53,0.0,0.0,0.0,73212.94744860285,False,-0.6616151843676601,10068.674108120458
1779986736.292821,BUY_YES,499.4091755863113,0.51,0.47,0.0,0.0,0.0,73212.94744860285,False,0.0,10048.64123493294
1779986771.3823347,SELL_YES,476.67812335273817,0.58,0.58,0.0,0.0,0.0,73212.94744860285,True,33.32061706634508,10103.594838881554
1779986772.2377062,SELL_YES,17.364948655897177,0.65,0.65,0.0,0.0,0.0,73212.94744860285,True,2.4004789245822575,10105.18693639598
1779986773.2892568,BUY_YES,493.8807226511288,0.65,0.65,0.0,0.0,0.0,73212.94744860285,False,0.0,10105.15693639598
1779986777.1134498,SELL_YES,232.14908126018557,0.65,0.66,0.0,0.0,0.0,73212.94744860285,True,0.3476617464339711,10107.802331539677
1779986777.779814,SELL_YES,238.37660951343113,0.66,0.66,0.0,0.0,0.0,73212.94744860285,True,2.741558828015968,10107.772331539676
1779986786.105667,SELL_YES,3.9922992251520486,0.7,0.7,0.0,0.0,0.0,73212.94744860285,True,0.17610966151432317,10108.908847733926
1779986793.0067835,SELL_YES,19.463840073896783,0.7,0.71,0.0,0.0,0.0,73212.94744860285,True,0.9748559146382618,10108.935915389498
1779986796.2890217,BUY_YES,458.7579320454335,0.69,0.67,0.0,0.0,0.0,73212.94744860285,False,0.0,10099.502486126301
1779986798.0462134,SELL_YES,453.1263165766888,0.65,0.67,0.0,0.0,0.0,73212.94744860285,False,-17.923297346336824,10090.409959794766
1779986799.451454,SELL_YES,10.349596904185665,0.68,0.68,0.0,0.0,0.0,73212.94744860285,False,-0.128202579492811,10090.493343605025
1779986801.2806673,BUY_YES,407.8781345807014,0.69,0.69,0.0,0.0,0.0,73212.94744860285,False,0.0,10090.473231446244
1779986809.292413,SELL_YES,201.9771526978621,0.7,0.7,0.0,0.0,0.0,73212.94744860285,True,1.9900213498388837,10094.531900633268
1779986818.7518084,SELL_YES,197.83757218412768,0.71,0.71,0.0,0.0,0.0,73212.94744860285,True,3.9269961463506036,10096.570798293315
1779986820.0929995,SELL_YES,8.60856806178515,0.74,0.74,0.0,0.0,0.0,73212.94744860285,True,0.4004390509128726,10096.81236410793
1779986833.6538043,BUY_YES,431.45139563560423,0.74,0.73,0.0,0.0,0.0,73212.94744860285,False,0.0,10092.463413893985
1779986836.0717766,SELL_YES,387.0805385390103,0.73,0.73,0.0,0.0,0.0,73212.94744860285,False,-3.8809251903169297,10092.433413893985
1779986837.00727,SELL_YES,40.11206460520829,0.73,0.73,0.0,0.0,0.0,73212.94744860285,False,-0.4290605175006803,10092.403413893984
1779986850.9197345,SELL_YES,4.7022289677058575,0.9,0.9,0.0,0.0,0.0,73212.94744860285,True,0.7225981381374158,10093.1728249965
1779986851.7364383,BUY_YES,472.6458071063454,0.89,0.89,0.0,0.0,0.0,73212.94744860285,False,0.0,10093.142823103677
1779986857.8348463,SELL_YES,438.048398536051,0.81,0.81,0.0,0.0,0.0,73212.94744860285,False,-35.073845559831,10055.301143392579
1779986859.7129145,SELL_YES,30.818870325348826,0.81,0.81,0.0,0.0,0.0,73212.94744860285,False,-2.495507774070994,10055.271143392578
1779986871.0018907,BUY_YES,370.3402529929998,0.78,0.78,0.0,0.0,0.0,73212.94744860285,False,0.0,10055.127781566758
