timestamp,side,qty,vwap,p_market,expected_slippage_bps,realized_slippage_bps,ev,strike,resolved_won,pnl,capital
1780430102.6664526,BUY_YES,179.52202312626585,0.47,0.47,0.0,0.0,0.029810526221378697,67122.66715,False,0.0,9995.852626495194
1780430102.9817739,BUY_YES,240.77328361263903,0.46,0.46,0.0,0.0,0.039810974373944596,67122.66715,False,0.0,9990.618834356806
1780430103.293853,BUY_YES,241.00972212064121,0.46,0.46,0.0,0.0,0.03981196128257164,67122.66715,False,0.0,9986.278423678623
1780430108.967905,SELL_YES,155.5949822165172,0.43999999999999995,0.44,0.0,1.261617073437678e-12,0.07726679984276003,67122.66715,False,-6.3246670313886,9972.790493874141
1780430109.2592678,SELL_YES,278.3788201519331,0.44,0.44,0.0,0.0,0.07865698362424006,67122.66715,False,-11.29194403241631,9965.293280668375
1780430109.5212698,SELL_YES,227.33122649109572,0.44000000000000006,0.44,0.0,-1.261617073437678e-12,0.0798970547256243,67122.66715,False,-9.22679000064008,9961.23024284544
1780430225.0007691,BUY_NO,239.53,0.49,0.49,0.0,0.0,0.21466287553036856,67122.66715,False,0.0,9964.07632746144
1780430225.1992428,BUY_NO,119.12979084414728,0.48999999999999994,0.49,0.0,-1.1328806373726088e-12,0.21339620932029557,67122.66715,False,0.0,9965.476742686064
1780430225.5012171,BUY_NO,205.71220336768653,0.49,0.49,0.0,0.0,0.21149465982211735,67122.66715,False,0.0,9967.916770254342
1780430225.7641132,BUY_NO,191.41948231772793,0.49,0.49,0.0,0.0,0.20986425698660316,67122.66715,False,0.0,9970.185182262427
1780430226.019365,BUY_NO,175.69044543173953,0.49,0.49,0.0,0.0,0.20773382214358438,67122.66715,False,0.0,9972.264732578815
1780430231.6175883,BUY_NO,165.56055240983898,0.49,0.49,0.0,0.0,0.15199592389462757,67122.66715,False,0.0,9957.767014128143
1780430232.2109318,BUY_NO,222.87261650445842,0.49,0.49,0.0,0.0,0.14801045364927257,67122.66715,False,0.0,9957.070000961468
1780430232.7422547,BUY_NO,298.20213023445757,0.49,0.49,0.0,0.0,0.1447431355927491,67122.66715,False,0.0,9980.419299942754
1780430233.2268124,BUY_NO,298.67363211475487,0.48999999999999994,0.49,0.0,-1.1328806373726088e-12,0.1420259061674758,67122.66715,False,0.0,9983.975533978282
1780430233.4471254,BUY_NO,392.1515367383101,0.49,0.49,0.0,0.0,0.14101981789051377,67122.66715,False,0.0,9988.654175910206
1780430233.7185445,BUY_NO,392.4621812807847,0.49,0.49,0.0,0.0,0.13979687992672885,67122.66715,False,0.0,9993.336547813282
1780430233.8962843,BUY_NO,392.51590797693206,0.49,0.49,0.0,0.0,0.13900594295320878,67122.66715,False,0.0,9998.01956482354
1780430234.0717335,BUY_NO,395.8648321369489,0.49000000000000005,0.49,0.0,1.1328806373726088e-12,0.1382382391457122,67122.66715,False,0.0,10002.742793035975
1780430234.365209,BUY_NO,396.3766897551211,0.49,0.49,0.0,0.0,0.13697042193576858,67122.66715,False,0.0,10007.472167225202
1780430234.6230485,BUY_NO,469.8428944149944,0.49,0.49,0.0,0.0,0.13606197143263632,67122.66715,False,0.0,10013.083664827023
1780430234.79265,BUY_NO,464.5073358518537,0.49,0.49,0.0,0.0,0.13547183234714544,67122.66715,False,0.0,10018.631097310063
1780430235.0529635,BUY_NO,470.86545399412,0.49,0.49,0.0,0.0,0.13457719007260704,67122.66715,False,0.0,10024.25487298926
1780430298.6254475,BUY_YES,100.0,0.57,0.57,0.0,0.0,-0.20008972013988202,67122.66715,False,0.0,9572.193049732481
1780430299.0232193,BUY_YES,100.0,0.57,0.57,0.0,0.0,-0.20140169919045858,67122.66715,False,0.0,9569.898329732481
1780430299.5183544,BUY_YES,100.0,0.57,0.57,0.0,0.0,-0.1909897856203745,67122.66715,False,0.0,9567.603609732481
1780430299.9843695,BUY_YES,159.27751123626348,0.57,0.57,0.0,0.0,-0.1715104188853499,67122.66715,False,0.0,9563.966420080013
1780430300.4709404,BUY_YES,160.80886723566763,0.57,0.57,0.0,0.0,-0.16201488302652062,67122.66715,False,0.0,9560.294549501952
1780430300.7467892,BUY_YES,152.90767909720284,0.57,0.57,0.0,0.0,-0.156817776707529,67122.66715,False,0.0,9556.801618711903
1780430301.0647416,BUY_YES,162.20229765715806,0.57,0.57,0.0,0.0,-0.15097968132881623,67122.66715,False,0.0,9553.098190836401
1780430301.248133,BUY_YES,162.66093704159042,0.57,0.57,0.0,0.0,-0.1476893438768868,67122.66715,False,0.0,9549.384376063033
1780430301.4690235,BUY_YES,93.55498873179911,0.57,0.57,0.0,0.0,-0.14379491320757715,67122.66715,False,0.0,9547.235617522227
1780430301.7607667,BUY_YES,172.30910805941008,0.57,0.57,0.0,0.0,-0.13872356601295904,67122.66715,False,0.0,9543.303298690184
